146857 objects to copy.
105500/131102 (105500 copied 20.13GB, 0 missing, 0 errors) — 21.1/s
106000/131102 (106000 copied 20.16GB, 0 missing, 0 errors) — 21.1/s
106500/131102 (106500 copied 20.19GB, 0 missing, 0 errors) — 21.1/s
107000/131102 (107000 copied 20.21GB, 0 missing, 0 errors) — 21.1/s
107500/131102 (107500 copied 20.24GB, 0 missing, 0 errors) — 21.1/s
108000/131102 (108000 copied 20.27GB, 0 missing, 0 errors) — 21.2/s
108500/131102 (108500 copied 20.30GB, 0 missing, 0 errors) — 21.2/s
109000/131102 (109000 copied 20.33GB, 0 missing, 0 errors) — 21.2/s
109500/131102 (109500 copied 20.36GB, 0 missing, 0 errors) — 21.2/s
110000/131102 (110000 copied 20.39GB, 0 missing, 0 errors) — 21.2/s
110500/131102 (110500 copied 20.42GB, 0 missing, 0 errors) — 21.2/s
111000/131102 (111000 copied 20.45GB, 0 missing, 0 errors) — 21.2/s
111500/131102 (111500 copied 20.48GB, 0 missing, 0 errors) — 21.2/s
112000/131102 (112000 copied 20.55GB, 0 missing, 0 errors) — 21.2/s
112500/131102 (112500 copied 20.59GB, 0 missing, 0 errors) — 21.3/s
113000/131102 (113000 copied 20.63GB, 0 missing, 0 errors) — 21.3/s
113500/131102 (113500 copied 20.66GB, 0 missing, 0 errors) — 21.3/s
114000/131102 (114000 copied 20.81GB, 0 missing, 0 errors) — 21.3/s
114500/131102 (114500 copied 20.91GB, 0 missing, 0 errors) — 21.2/s
115000/131102 (115000 copied 21.10GB, 0 missing, 0 errors) — 21.2/s
115500/131102 (115500 copied 21.33GB, 0 missing, 0 errors) — 21.2/s
116000/131102 (116000 copied 21.51GB, 0 missing, 0 errors) — 21.2/s
116500/131102 (116500 copied 21.70GB, 0 missing, 0 errors) — 21.2/s
117000/131102 (117000 copied 21.72GB, 0 missing, 0 errors) — 21.2/s
117500/131102 (117500 copied 21.73GB, 0 missing, 0 errors) — 21.2/s
118000/131102 (118000 copied 21.84GB, 0 missing, 0 errors) — 21.2/s
118500/131102 (118500 copied 22.09GB, 0 missing, 0 errors) — 21.2/s
119000/131102 (119000 copied 22.28GB, 0 missing, 0 errors) — 21.1/s
119500/131102 (119500 copied 22.46GB, 0 missing, 0 errors) — 21.1/s
120000/131102 (120000 copied 22.95GB, 0 missing, 0 errors) — 21.1/s
120500/131102 (120500 copied 23.40GB, 0 missing, 0 errors) — 21.1/s
121000/131102 (121000 copied 23.61GB, 0 missing, 0 errors) — 21.1/s
121500/131102 (121500 copied 23.87GB, 0 missing, 0 errors) — 21.1/s
122000/131102 (122000 copied 24.14GB, 0 missing, 0 errors) — 21.0/s
122500/131102 (122500 copied 24.26GB, 0 missing, 0 errors) — 21.0/s
123000/131102 (123000 copied 24.28GB, 0 missing, 0 errors) — 21.0/s
123500/131102 (123500 copied 24.29GB, 0 missing, 0 errors) — 21.1/s
124000/131102 (124000 copied 24.31GB, 0 missing, 0 errors) — 21.1/s
124500/131102 (124500 copied 24.58GB, 0 missing, 0 errors) — 21.1/s
125000/131102 (125000 copied 24.77GB, 0 missing, 0 errors) — 21.0/s
125500/131102 (125500 copied 24.96GB, 0 missing, 0 errors) — 21.0/s
126000/131102 (126000 copied 25.15GB, 0 missing, 0 errors) — 21.0/s
126500/131102 (126500 copied 25.34GB, 0 missing, 0 errors) — 21.0/s
127000/131102 (127000 copied 25.53GB, 0 missing, 0 errors) — 21.0/s
127500/131102 (127500 copied 25.72GB, 0 missing, 0 errors) — 20.9/s
128000/131102 (128000 copied 25.96GB, 0 missing, 0 errors) — 20.9/s
128500/131102 (128500 copied 26.45GB, 0 missing, 0 errors) — 20.9/s
129000/131102 (129000 copied 26.54GB, 0 missing, 0 errors) — 20.9/s
129500/131102 (129500 copied 26.55GB, 0 missing, 0 errors) — 20.9/s
130000/131102 (130000 copied 26.59GB, 0 missing, 0 errors) — 20.9/s
130500/131102 (130500 copied 26.61GB, 0 missing, 0 errors) — 20.9/s
131000/131102 (131000 copied 26.66GB, 0 missing, 0 errors) — 21.0/s
DONE: 131102 copied (26.70GB), 0 missing, 0 errors, in 104.3 min
By source: [ { source: 'gcs', c: 439 }, { source: 'mirror', c: 146437 } ]
