dictionary_id,bucket,reason
"muysccubun",public,"publicly listed"
"muyuw-woodlark",public,"publicly listed"
"my-dictionary-ape1",delete,"1 entries, stale since 2024-09-19"
"my-love",delete,"0 entries, stale since 2025-05-19"
"my-personal-dictionary",glossary,"hand-reviewed"
"my-project",conlang,"self-declared conlang"
"my-singing-monsters",conlang,"self-declared conlang"
"myaamia",delete,"2 entries, stale since 2024-06-18"
"mydictionaries",unlisted,"default real private"
"mydictionary",conlang,"self-declared conlang"
"naasioi",public,"publicly listed"
"nadurian",conlang,"hand-reviewed"
"naffa-brainrot",glossary,"hand-reviewed"
"nagawakajuweleon",delete,"2 entries, stale since 2025-01-20"
"nahuatl",public,"publicly listed"
"nalik",public,"publicly listed"
"nalkan",conlang,"self-declared conlang"
"nalu",conlang,"self-declared conlang"
"nambya",public,"publicly listed"
"namolukese",public,"publicly listed"
"namtrik-de-totoro",public,"publicly listed"
"nanarja",conlang,"self-declared conlang"
"naravana",conlang,"hand-reviewed"
"nardismo",delete,"0 entries, stale since 2024-11-08"
"narislo-old-narelis",conlang,"self-declared conlang"
"nars",conlang,"self-declared conlang"
"naruto",conlang,"self-declared conlang"
"nasa-yuwe",unlisted,"default real private"
"nasa-yuwe-páez",public,"publicly listed"
"natashadonoh",glossary,"hand-reviewed"
"natchez-language",delete,"1 entries, stale since 2021-09-26"
"nathanielewilliamese-obo",conlang,"hand-reviewed"
"navajo",delete,"0 entries, stale since 2025-03-10"
"naves",conlang,"self-declared conlang"
"navit",conlang,"self-declared conlang"
"nawal",public,"publicly listed"
"nawat",delete,"0 entries, stale since 2022-10-27"
"naxi",public,"publicly listed"
"nayatuk",conlang,"self-declared conlang"
"nayira",conlang,"self-declared conlang"
"nağaybäk",delete,"1 entries, stale since 2022-10-27"
"ndau",public,"publicly listed"
"ndebele",public,"publicly listed"
"nederlian",conlang,"hand-reviewed"
"negerhollands",public,"publicly listed"
"neggemavi",conlang,"self-declared conlang"
"neo-aramaic",unlisted,"default real private"
"neo-european",conlang,"self-declared conlang"
"neo-hanzi",delete,"2 entries, stale since 2025-05-21"
"nepalbhasa",delete,"1 entries, stale since 2022-10-20"
"neuepie",conlang,"self-declared conlang"
"new",glossary,"hand-reviewed"
"new-alien-words",delete,"0 entries, stale since 2024-10-23"
"new-english",conlang,"self-declared conlang"
"new-english-d",conlang,"self-declared conlang"
"new-english-dating-terms",glossary,"hand-reviewed"
"new-gagweem",conlang,"hand-reviewed"
"new-gen",glossary,"hand-reviewed"
"new-slang",glossary,"hand-reviewed"
"newspeak-dictionary",conlang,"hand-reviewed"
"newvholan",conlang,"self-declared conlang"
"ngabere",public,"publicly listed"
"ngaju",public,"publicly listed"
"ngiwa---popoloca",public,"publicly listed"
"ngəmba",public,"publicly listed"
"nheengatu",unlisted,"default real private"
"nheenghatu",delete,"2 entries, stale since 2025-04-22"
"niaya",conlang,"self-declared conlang"
"nidmal",conlang,"self-declared conlang"
"niduruz",conlang,"self-declared conlang"
"ninilchik",delete,"0 entries, stale since 2024-11-19"
"ninjian",conlang,"self-declared conlang"
"nistanianino",delete,"0 entries, stale since 2025-06-01"
"nivkh",unlisted,"default real private"
"nll",conlang,"self-declared conlang"
"no-name-yet",conlang,"self-declared conlang"
"noahdynn",conlang,"self-declared conlang"
"nocte",delete,"1 entries, stale since 2022-03-24"
"nogai",delete,"1 entries, stale since 2022-10-27"
"nogai05",delete,"hand-reviewed"
"noiceness",delete,"1 entries, stale since 2025-07-01"
"nongtrai",unlisted,"default real private"
"nopelandian",delete,"0 entries, stale since 2024-10-23"
"nora",delete,"2 entries, stale since 2024-12-08"
"noratherai",conlang,"hand-reviewed"
"nordestines",unlisted,"default real private"
"nordic",conlang,"self-declared conlang"
"normand",unlisted,"default real private"
"norsii",conlang,"hand-reviewed"
"norsk",glossary,"hand-reviewed"
"north-frisian-mooringer",delete,"0 entries, stale since 2024-11-06"
"northern-michif",public,"publicly listed"
"norwegian",delete,"2 entries, stale since 2025-05-27"
"notolish",conlang,"self-declared conlang"
"novosvenska",conlang,"self-declared conlang"
"nowsherapashto",delete,"1 entries, stale since 2022-10-25"
"noxchi",delete,"1 entries, stale since 2025-04-28"
"nsaje",unlisted,"default real private"
"nsyilxcn",unlisted,"default real private"
"nuer",delete,"1 entries, stale since 2022-04-24"
"nukuoro",public,"publicly listed"
"numberoligia",delete,"hand-reviewed"
"nunnuvut",conlang,"self-declared conlang"
"nuu-chah-nulth-novel-stud",glossary,"hand-reviewed"
"nuvulan-latin",delete,"1 entries, stale since 2025-06-30"
"nuxalk",delete,"0 entries, stale since 2024-04-23"
"nuyoli",conlang,"self-declared conlang"
"nwahili",conlang,"self-declared conlang"
"nyifon",unlisted,"default real private"
"nyishi",unlisted,"hand-reviewed"
"nyuen",delete,"0 entries, stale since 2024-10-24"
"nzebictionnaire",unlisted,"default real private"
"oau-slangs",glossary,"hand-reviewed"
"oauslangs",glossary,"hand-reviewed"
"oceanography",conlang,"self-declared conlang"
"official-lioraic-diction",conlang,"self-declared conlang"
"official-lioraic-dictiona",conlang,"self-declared conlang"
"official-yesañ-language",unlisted,"default real private"
"ofi-aso-oke",unlisted,"default real private"
"ohlone",delete,"0 entries, stale since 2023-11-11"
"oirat",delete,"1 entries, stale since 2022-10-27"
"ojibwe",unlisted,"default real private"
"old-britian",delete,"2 entries, stale since 2025-03-27"
"old-englishdictonary",glossary,"hand-reviewed"
"old-stevets",conlang,"self-declared conlang"
"old-xavet",conlang,"self-declared conlang"
"olim",conlang,"hand-reviewed"
"olivish",conlang,"hand-reviewed"
"olukumi",public,"publicly listed"
"oluwakemi",glossary,"hand-reviewed"
"olympic-sports-encycloped",glossary,"hand-reviewed"
"omtobaenglish",glossary,"hand-reviewed"
"on-b5-trim",delete,"1 entries, stale since 2025-04-07"
"oneian",conlang,"self-declared conlang"
"onkoyoruba",conlang,"self-declared conlang"
"onondaga",unlisted,"default real private"
"onondagalanguage",delete,"0 entries, stale since 2022-10-27"
"onondagega",delete,"2 entries, stale since 2022-10-27"
"ooglish",conlang,"self-declared conlang"
"opata",public,"publicly listed"
"opo-acronyms",glossary,"hand-reviewed"
"ordos-mongolian",delete,"1 entries, stale since 2022-10-27"
"orich",conlang,"self-declared conlang"
"originalbelarusian",unlisted,"default real private"
"oron",public,"publicly listed"
"oroqen",delete,"1 entries, stale since 2022-10-27"
"oscan",delete,"0 entries, stale since 2024-11-17"
"ostlandic",conlang,"self-declared conlang"
"otok",conlang,"self-declared conlang"
"ottoman-turkish",delete,"1 entries, stale since 2025-06-05"
"oughle",conlang,"self-declared conlang"
"owe",public,"publicly listed"
"owens-valley-paiute",delete,"2 entries, stale since 2020-05-25"
"oxford",delete,"1 entries, stale since 2025-07-03"
"ozbekce-sozluk",glossary,"hand-reviewed"
"pabluaonu",conlang,"self-declared conlang"
"pacahuara",delete,"0 entries, stale since 2022-06-07"
"pachhai",delete,"0 entries, stale since 2022-10-27"
"paerian-ketheian",conlang,"self-declared conlang"
"pahari",delete,"1 entries, stale since 2024-07-20"
"paipaay---paipai",unlisted,"default real private"
"pakahua",delete,"3 entries, stale since 2024-05-25"
"palauan",unlisted,"default real private"
"palaw",conlang,"self-declared conlang"
"palero",unlisted,"hand-reviewed"
"palus",conlang,"hand-reviewed"
"pan-tamazight",unlisted,"default real private"
"pandonic",delete,"2 entries, stale since 2025-01-19"
"panim",public,"publicly listed"
"paniya",unlisted,"default real private"
"panjabi",delete,"hand-reviewed"
"panzi",conlang,"self-declared conlang"
"papiamentu",unlisted,"default real private"
"paqaraw-qichwa",delete,"0 entries, stale since 2024-02-14"
"parsig",unlisted,"default real private"
"patxoha",delete,"2 entries, stale since 2024-12-16"
"pawl",conlang,"hand-reviewed"
"pawwiko",delete,"1 entries, stale since 2022-10-27"
"paza",delete,"1 entries, stale since 2023-09-02"
"pcf",delete,"1 entries, stale since 2024-07-27"
"peacelandish-dictionary",delete,"0 entries, stale since 2025-06-27"
"pearish",conlang,"self-declared conlang"
"peener",conlang,"hand-reviewed"
"penang-hokkien",delete,"1 entries, stale since 2024-12-28"
"pephan",conlang,"hand-reviewed"
"pericu",public,"publicly listed"
"perso-marathi-database",unlisted,"default real private"
"pesh",unlisted,"default real private"
"pet",glossary,"hand-reviewed"
"petesian",conlang,"self-declared conlang"
"pfofu",delete,"1 entries, stale since 2022-10-27"
"pharm-tech-abbreviations",glossary,"hand-reviewed"
"phong-tapuang",unlisted,"default real private"
"physics",conlang,"self-declared conlang"
"pia-di-chao",delete,"1 entries, stale since 2025-05-07"
"pico",delete,"0 entries, stale since 2024-11-16"
"pidgin",conlang,"self-declared conlang"
"pietracupaese",delete,"0 entries, stale since 2020-07-02"
"pietracupesi",delete,"0 entries, stale since 2022-10-27"
"pine",conlang,"self-declared conlang"
"pine2",conlang,"self-declared conlang"
"pingelapese",public,"publicly listed"
"pinglisk",conlang,"self-declared conlang"
"pipil",public,"publicly listed"
"pitruian",conlang,"self-declared conlang"
"planeste",conlang,"self-declared conlang"
"poai",conlang,"self-declared conlang"
"pohnpei",delete,"0 entries, stale since 2023-07-30"
"pohnpei96941",unlisted,"default real private"
"pohnpeian",public,"publicly listed"
"pokemon",delete,"0 entries, stale since 2025-01-07"
"polabian",delete,"2 entries, stale since 2024-07-19"
"polish",conlang,"self-declared conlang"
"polish-english-dictionary",glossary,"hand-reviewed"
"polsimjulia",conlang,"self-declared conlang"
"poopian",delete,"0 entries, stale since 2025-05-05"
"popti",delete,"1 entries, stale since 2023-01-05"
"poqomam",public,"publicly listed"
"poqomchi",public,"publicly listed"
"poralayin",conlang,"self-declared conlang"
"post-slavspan",conlang,"self-declared conlang"
"pothwari",delete,"1 entries, stale since 2023-03-16"
"pouthena",delete,"1 entries, stale since 2025-03-17"
"prendas-de-vestir",glossary,"hand-reviewed"
"prerote",conlang,"self-declared conlang"
"primordial",conlang,"self-declared conlang"
"prisnal-finenaces",glossary,"hand-reviewed"
"procbew",conlang,"self-declared conlang"
"pronunct-english-dictiona",delete,"1 entries, stale since 2025-05-20"
"proto-arteni",conlang,"self-declared conlang"
"proto-indo-european",unlisted,"hand-reviewed"
"proto-katwijks",conlang,"self-declared conlang"
"proto-tagvan",conlang,"self-declared conlang"
"prueba",delete,"2 entries, stale since 2019-10-27"
"psalm-visuals",conlang,"self-declared conlang"
"punic",delete,"3 entries, stale since 2024-12-12"
"punjabi",delete,"hand-reviewed"
"puppy",conlang,"self-declared conlang"
"puquina",unlisted,"hand-reviewed"
"purhepecha",unlisted,"default real private"
"pushtiwords",delete,"0 entries, stale since 2024-12-27"
"puyallup-english",conlang,"hand-reviewed"
"puyuma",unlisted,"default real private"
"py1lb",delete,"1 entries, stale since 2025-04-15"
"pyraxian",conlang,"self-declared conlang"
"qamus",conlang,"self-declared conlang"
"qanjobal",public,"publicly listed"
"qeqchi",public,"publicly listed"
"qirimtatar-tili",unlisted,"default real private"
"quaternarion",conlang,"hand-reviewed"
"quaternion",conlang,"self-declared conlang"
"quebecois-french",delete,"1 entries, stale since 2022-05-19"
"quechua",unlisted,"default real private"
"quechua-chanka",public,"publicly listed"
"quechua-cusco-collao",delete,"1 entries, stale since 2022-10-04"
"quechua-cuscocollao",delete,"0 entries, stale since 2024-11-28"
"quechua-qollao",delete,"1 entries, stale since 2024-10-23"
"quechua-qollao2",delete,"0 entries, stale since 2022-10-27"
"quechua-wanka",delete,"0 entries, stale since 2022-10-27"
"quechuaboliviano",public,"publicly listed"
"quim",conlang,"self-declared conlang"
"rabha",delete,"0 entries, stale since 2025-03-15"
"rafku",delete,"1 entries, stale since 2025-04-22"
"raga",delete,"1 entries, stale since 2020-05-26"
"raisha",conlang,"self-declared conlang"
"raji",unlisted,"hand-reviewed"
"ramiuese",conlang,"hand-reviewed"
"random-ahh-dictionary",conlang,"self-declared conlang"
"rawanlti",unlisted,"default real private"
"razeh",unlisted,"default real private"
"rcanic",conlang,"self-declared conlang"
"reading",glossary,"hand-reviewed"
"red-spawn-speak",conlang,"self-declared conlang"
"references-for-ebk",conlang,"self-declared conlang"
"regalese",conlang,"self-declared conlang"
"regionalismoshuilenses",glossary,"hand-reviewed"
"remo",public,"publicly listed"
"renadine-english",conlang,"self-declared conlang"
"rendille",public,"publicly listed"
"repertorio-pueblerino",glossary,"hand-reviewed"
"rere",unlisted,"default real private"
"resembolo",conlang,"self-declared conlang"
"ression-dictionary",conlang,"self-declared conlang"
"rinconada-bikol",unlisted,"default real private"
"rioyanu",delete,"1 entries, stale since 2025-01-04"
"roaviation",glossary,"hand-reviewed"
"robinia",unlisted,"default real private"
"rohingya",conlang,"self-declared conlang"
"rohingya-medical-words",unlisted,"default real private"
"romance-neolatino",delete,"2 entries, stale since 2024-12-12"
"romanian-words",delete,"0 entries, stale since 2024-12-06"
"romen",conlang,"self-declared conlang"
"romino",conlang,"self-declared conlang"
"royce",conlang,"self-declared conlang"
"rranya",conlang,"self-declared conlang"
"rrithaan",delete,"1 entries, stale since 2025-01-25"
"rromay",unlisted,"hand-reviewed"
"ru-ap-suzinutap",conlang,"self-declared conlang"
"ru-telayi",unlisted,"default real private"
"rumsen",unlisted,"default real private"
"runesun",conlang,"self-declared conlang"
"rung-byankho-lwo",delete,"3 entries, stale since 2024-10-17"
"rung-byankhu-boli",delete,"1 entries, stale since 2024-11-26"
"rural-dictionary",delete,"0 entries, stale since 2025-04-10"
"rusitene",unlisted,"default real private"
"rusithia",conlang,"self-declared conlang"
"ryazian",conlang,"hand-reviewed"
"ryokyu",conlang,"self-declared conlang"
"sabaic",unlisted,"default real private"
"sachan",conlang,"self-declared conlang"
"sadf",glossary,"hand-reviewed"
"sage-femme",conlang,"self-declared conlang"
"sakapulteko",public,"publicly listed"
"salar",unlisted,"default real private"
"salc",conlang,"self-declared conlang"
"saliba",public,"publicly listed"
"salinan",unlisted,"default real private"
"sam-from-murrumbeena",conlang,"self-declared conlang"
"san-francisco-yatee-zapo",public,"publicly listed"
"san-sebastian-del-monte-m",public,"publicly listed"
"sanggot",conlang,"self-declared conlang"
"sangtam-by-ariba-anar",delete,"1 entries, stale since 2022-03-24"
"sans",delete,"2 entries, stale since 2025-04-26"
"sanskrit",delete,"1 entries, stale since 2023-10-05"
"santali",public,"publicly listed"
"santanderianismos",glossary,"hand-reviewed"
"santanish",conlang,"hand-reviewed"
"santari",delete,"0 entries, stale since 2025-01-21"
"sapun",conlang,"self-declared conlang"
"saraiki",delete,"1 entries, stale since 2024-02-22"
"saraki",delete,"1 entries, stale since 2025-06-29"
"sardaukar",conlang,"self-declared conlang"
"sarikoli",delete,"1 entries, stale since 2022-10-27"
"sarunese",conlang,"self-declared conlang"
"satrian-indonesian",conlang,"self-declared conlang"
"saulteaux",unlisted,"hand-reviewed"
"saulteaux-ojibwe",delete,"2 entries, stale since 2024-01-18"
"seediq",delete,"0 entries, stale since 2022-10-27"
"seianae",delete,"0 entries, stale since 2024-10-28"
"selenafrancais",delete,"1 entries, stale since 2025-04-19"
"selene",conlang,"self-declared conlang"
"selenic",delete,"0 entries, stale since 2025-06-10"
"selinish",conlang,"hand-reviewed"
"selinology",conlang,"self-declared conlang"
"seneska",conlang,"self-declared conlang"
"sengwer",public,"publicly listed"
"senior-school",delete,"1 entries, stale since 2025-06-25"
"seniwan",delete,"1 entries, stale since 2024-08-10"
"seniwan-ben",conlang,"self-declared conlang"
"sepedi-living-dictionary",public,"publicly listed"
"septenshis-alphabet",conlang,"self-declared conlang"
"serta-des",conlang,"hand-reviewed"
"seyat-va-nevulsey",conlang,"self-declared conlang"
"shanam",conlang,"self-declared conlang"
"shauki",public,"publicly listed"
"shayuushtla-ul-quuiich",delete,"0 entries, stale since 2024-10-28"
"sheba",conlang,"self-declared conlang"
"sherpa",delete,"0 entries, stale since 2024-09-25"
"shialaeng",conlang,"self-declared conlang"
"shionion",conlang,"self-declared conlang"
"sholonese",conlang,"hand-reviewed"
"shona",public,"publicly listed"
"short-language",conlang,"self-declared conlang"
"short-ways-to-say-stuff",glossary,"hand-reviewed"
"shupamem",unlisted,"default real private"
"sibe",public,"publicly listed"
"siberian-tatar",delete,"1 entries, stale since 2022-10-27"
"sibujun",delete,"1 entries, stale since 2025-03-09"
"sibyr",conlang,"self-declared conlang"
"sichuanese",delete,"0 entries, stale since 2022-10-27"
"siculo-arberesh",unlisted,"hand-reviewed"
"siebenbürger-saxon",delete,"1 entries, stale since 2022-05-29"
"sierish",conlang,"self-declared conlang"
"silak",conlang,"self-declared conlang"
"silesian",delete,"1 entries, stale since 2022-10-27"
"siletz-dee-ni",unlisted,"default real private"
"siloti",delete,"2 entries, stale since 2023-10-23"
"siltaanin",conlang,"self-declared conlang"
"silvace",conlang,"self-declared conlang"
"silvinian",conlang,"self-declared conlang"
"similish",conlang,"self-declared conlang"
"simlish",conlang,"self-declared conlang"
"simpliconau",conlang,"self-declared conlang"
"sindhi",conlang,"self-declared conlang"
"sinhala",delete,"0 entries, stale since 2022-10-27"
"sipakapense",unlisted,"default real private"
"siriono",public,"publicly listed"
"sivaldi",conlang,"self-declared conlang"
"sivisian",delete,"0 entries, stale since 2025-03-29"
"siyrilicano",conlang,"self-declared conlang"
"skarnetik",conlang,"self-declared conlang"
"skarure",delete,"0 entries, stale since 2021-09-26"
"skibidi",delete,"0 entries, stale since 2025-04-23"
"skibidisigmamonk",delete,"1 entries, stale since 2025-05-21"
"skypien",conlang,"hand-reviewed"
"slang",glossary,"hand-reviewed"
"slavian",conlang,"self-declared conlang"
"smalgyax",unlisted,"default real private"
"snoshwee",conlang,"self-declared conlang"
"sochiapam-chinantec",unlisted,"default real private"
"social-studies-dictionary",glossary,"hand-reviewed"
"sodikian",conlang,"self-declared conlang"
"soga",delete,"1 entries, stale since 2022-10-27"
"sogwo-arig",delete,"1 entries, stale since 2022-10-27"
"sohra",delete,"1 entries, stale since 2022-03-24"
"solano",unlisted,"default real private"
"solenai",conlang,"hand-reviewed"
"solon",delete,"1 entries, stale since 2022-10-27"
"soltlean",conlang,"self-declared conlang"
"sona",conlang,"self-declared conlang"
"songhay",unlisted,"default real private"
"sophisticated-english-wor",delete,"1 entries, stale since 2025-04-23"
"sora",public,"publicly listed"
"sora-language-project",unlisted,"default real private"
"sora-print-dictionary",delete,"0 entries, stale since 2023-08-22"
"sorign",delete,"1 entries, stale since 2025-07-03"
"sorovina",conlang,"self-declared conlang"
"soryali1",public,"publicly listed"
"sotinu",conlang,"self-declared conlang"
"south-african-gujarati",public,"publicly listed"
"south-saami",public,"publicly listed"
"southern-mongolian",delete,"3 entries, stale since 2022-10-27"
"southern-ndebele",delete,"0 entries, stale since 2024-11-22"
"southern-sierra-miwok",delete,"0 entries, stale since 2023-10-24"
"spacmazinverian",conlang,"self-declared conlang"
"spanish",delete,"1 entries, stale since 2025-05-25"
"spanishdict8th",glossary,"hand-reviewed"
"sparshian",conlang,"self-declared conlang"
"speaketras",conlang,"self-declared conlang"
"spezzino",unlisted,"default real private"
"spirit-tongue",delete,"1 entries, stale since 2025-04-10"
"spoken-palestinian-for-st",delete,"1 entries, stale since 2025-03-04"
"sporty",glossary,"hand-reviewed"
"squamish",delete,"1 entries, stale since 2022-10-27"
"standard-american-german",delete,"3 entries, stale since 2025-01-09"
"standard-english",delete,"2 entries, stale since 2025-04-03"
"starpbaltu-kalboda",conlang,"self-declared conlang"
"stashc",conlang,"self-declared conlang"
"stensk",conlang,"self-declared conlang"
"stephinism",conlang,"self-declared conlang"
"stewie-griffins-grimoire",delete,"0 entries, stale since 2025-03-19"
"stinkin-language",conlang,"self-declared conlang"
"stupid-idiot",conlang,"self-declared conlang"
"sturdacular-vinacular",conlang,"self-declared conlang"
"subi",public,"publicly listed"
"sude-menemen-sozluksel",glossary,"hand-reviewed"
"sugtstun",unlisted,"default real private"
"sugtstun-test",unlisted,"default real private"
"sulinaili",conlang,"self-declared conlang"
"sumerian",unlisted,"hand-reviewed"
"superbtales",delete,"0 entries, stale since 2024-11-26"
"svenskanorsk",delete,"0 entries, stale since 2025-06-27"
"svetsian",conlang,"self-declared conlang"
"swayana",delete,"0 entries, stale since 2025-06-04"
"swayanalanguage",delete,"3 entries, stale since 2025-06-04"
"swedish",glossary,"hand-reviewed"
"swedishandspanish",glossary,"hand-reviewed"
"sylheti",delete,"1 entries, stale since 2022-10-27"
"sylian",conlang,"self-declared conlang"
"syloti",unlisted,"default real private"
"symes",conlang,"hand-reviewed"
"szhorvakan",conlang,"self-declared conlang"
"taa",delete,"0 entries, stale since 2023-01-05"
"taai-sing-siu-see",conlang,"self-declared conlang"
"tabasco-zoque",delete,"1 entries, stale since 2023-01-08"
"tacana",public,"publicly listed"
"tacana-del-norte",delete,"2 entries, stale since 2022-10-27"
"tacawit",unlisted,"default real private"
"tacenwit",delete,"0 entries, stale since 2023-09-30"
"tagalog",glossary,"hand-reviewed"
"tagalog-to-korean",delete,"3 entries, stale since 2025-03-19"
"tagin",delete,"3 entries, stale since 2024-08-31"
"taharini",conlang,"self-declared conlang"
"tai-khamyang",delete,"0 entries, stale since 2020-06-26"
"tai-yo",delete,"2 entries, stale since 2023-10-24"
"taiengdictionary",public,"publicly listed"
"taik",delete,"1 entries, stale since 2024-10-26"
"taivoan",public,"publicly listed"
"taiwanese",delete,"3 entries, stale since 2024-02-07"
"taiwanese-hokkien",delete,"0 entries, stale since 2023-08-01"
"taiwanese-hokkien-tai-gi",public,"publicly listed"
"taiwanesehokkien",delete,"0 entries, stale since 2023-09-26"
"takaprakrita",conlang,"self-declared conlang"
"takelma",unlisted,"default real private"
"tamajaq",delete,"0 entries, stale since 2022-10-27"
"tamang",unlisted,"default real private"
"tamil",unlisted,"hand-reviewed"
"tanacross",unlisted,"hand-reviewed"
"tangut",unlisted,"default real private"
"tapachulteco",unlisted,"default real private"
"taqbaylit",unlisted,"default real private"
"tarao",delete,"0 entries, stale since 2025-03-15"
"tatana",unlisted,"default real private"
"tatar",unlisted,"default real private"
"taushiro",delete,"0 entries, stale since 2024-04-24"
"tayen",conlang,"hand-reviewed"
"tdv1-macuiltianguis",delete,"0 entries, stale since 2024-01-05"
"tdv1-naxi",delete,"0 entries, stale since 2024-01-05"
"tdv1-sanlucasquiavini",delete,"0 entries, stale since 2024-01-05"
"tdv1-teotitlan",delete,"0 entries, stale since 2024-01-05"
"tdv1-tillamook",delete,"0 entries, stale since 2022-10-27"
"tdv1-tlacochahuaya",delete,"0 entries, stale since 2024-01-05"
"tdv1-tlacolula",delete,"0 entries, stale since 2024-01-05"
"tdv1-tuvan",delete,"0 entries, stale since 2022-10-27"
"te-reo",glossary,"hand-reviewed"
"te-riu-roa-papa-kupu",glossary,"hand-reviewed"
"teevehq",conlang,"self-declared conlang"
"tehriyali",public,"publicly listed"
"tehueco",unlisted,"default real private"
"tehuelche",delete,"0 entries, stale since 2022-08-10"
"teid",conlang,"self-declared conlang"
"tektiteko",public,"publicly listed"
"tela",unlisted,"default real private"
"telugu",delete,"1 entries, stale since 2022-11-10"
"temboka",public,"publicly listed"
"tepecano",unlisted,"default real private"
"tepehua-de-huehuetla",public,"publicly listed"
"teramano",unlisted,"default real private"
"term-academica-panhisp",glossary,"hand-reviewed"
"terminology",delete,"1 entries, stale since 2024-06-14"
"teshenawa",unlisted,"default real private"
"test",delete,"1 entries, stale since 2020-07-06"
"test-004",glossary,"hand-reviewed"
"test-german",glossary,"hand-reviewed"
"test-language",delete,"1 entries, stale since 2025-01-20"
"test-language-x",glossary,"hand-reviewed"
"test-nisenan",unlisted,"default real private"
"test-wiznura",delete,"hand-reviewed"
"test1234",delete,"hand-reviewed"
"test12345",glossary,"hand-reviewed"
"test1928",delete,"1 entries, stale since 2025-05-03"
"test_tummy",delete,"1 entries, stale since 2022-07-07"
"testdaoolconlang",delete,"3 entries, stale since 2025-01-20"
"testdictionary",delete,"1 entries, stale since 2023-10-01"
"testing",glossary,"hand-reviewed"
"testomatico",glossary,"hand-reviewed"
"testshoshoni",delete,"1 entries, stale since 2020-02-26"
"tfguwoyeh",conlang,"self-declared conlang"
"thalvian",conlang,"self-declared conlang"
"thangmi",unlisted,"default real private"
"tharkaelin",conlang,"self-declared conlang"
"tharun",conlang,"self-declared conlang"
"thawe",conlang,"self-declared conlang"
"thayren",conlang,"self-declared conlang"
"the-10-of-hearts",delete,"1 entries, stale since 2025-03-15"
"the-2025-world-scholars-c",glossary,"hand-reviewed"
"the-art-of-speaking-daniq",conlang,"self-declared conlang"
"the-attican-dictionary",conlang,"self-declared conlang"
"the-auden-dictionary",glossary,"hand-reviewed"
"the-barbie-dictionary",glossary,"hand-reviewed"
"the-buv-dialect",glossary,"hand-reviewed"
"the-dictionary-of-roast",conlang,"self-declared conlang"
"the-dictionary-of-sonic",delete,"3 entries, stale since 2025-05-21"
"the-elijah-dicticary",delete,"1 entries, stale since 2025-06-24"
"the-english---gizzwallian",conlang,"self-declared conlang"
"the-halftonechi-railfan-c",glossary,"hand-reviewed"
"the-lawz-language",delete,"1 entries, stale since 2025-05-09"
"the-lions-share",glossary,"hand-reviewed"
"the-most-intresting-stuff",conlang,"self-declared conlang"
"the-pil-dictionary",delete,"1 entries, stale since 2025-03-26"
"the-spectrumite-codex",delete,"1 entries, stale since 2025-01-08"
"the-tiktok-slang-for-gran",glossary,"hand-reviewed"
"the-tippen-language",conlang,"self-declared conlang"
"thebookofprophecytbop",glossary,"hand-reviewed"
"thelang",conlang,"self-declared conlang"
"therealwaytospell",delete,"1 entries, stale since 2025-03-24"
"this-is-a-test-harry-pot",glossary,"hand-reviewed"
"tigrayet",delete,"1 entries, stale since 2025-03-22"
"tigrinya",unlisted,"default real private"
"tikanianian",delete,"1 entries, stale since 2024-12-01"
"til-fea",conlang,"self-declared conlang"
"tillamook",unlisted,"hand-reviewed"
"tilza-rodriemi",delete,"3 entries, stale since 2025-04-12"
"tipa",conlang,"self-declared conlang"
"tipra-dictionary-by-dopen",delete,"3 entries, stale since 2024-09-05"
"tipra-dictionary-with-sen",delete,"0 entries, stale since 2024-10-03"
"tipra-kok-ni-english-kok",unlisted,"hand-reviewed"
"tischlbogerisch",unlisted,"default real private"
"tiv",public,"publicly listed"
"tiwi",unlisted,"default real private"
"tiłhini",delete,"0 entries, stale since 2022-10-27"
"tjwao",public,"publicly listed"
"tla-wilano",conlang,"self-declared conlang"
"tletla",conlang,"self-declared conlang"
"tnqnvnqntt-znahnn",conlang,"self-declared conlang"
"toda",unlisted,"default real private"
"tohono-oodham",unlisted,"default real private"
"tohu",conlang,"self-declared conlang"
"toishanese",unlisted,"default real private"
"tojolabal",unlisted,"default real private"
"tojy-ypmir",conlang,"self-declared conlang"
"toki-pona",conlang,"self-declared conlang"
"toki-pona-language",conlang,"hand-reviewed"
"tolkapayayavapai",glossary,"hand-reviewed"
"tomibrain01",glossary,"hand-reviewed"
"tongan",unlisted,"hand-reviewed"
"toop",conlang,"self-declared conlang"
"toronto",glossary,"hand-reviewed"
"toronto-enlgish",delete,"1 entries, stale since 2025-05-27"
"torwali",public,"publicly listed"
"tosiyren",conlang,"self-declared conlang"
"tosk-albanian",delete,"0 entries, stale since 2024-04-17"
"totonaco-olintla",unlisted,"default real private"
"toubou",delete,"1 entries, stale since 2024-11-07"
"transcribed-yoruba-to-eng",delete,"3 entries, stale since 2025-04-11"
"travelling",conlang,"self-declared conlang"
"trisvara",conlang,"self-declared conlang"
"trumai",unlisted,"default real private"
"trung-viet",glossary,"hand-reviewed"
"trustworthy",glossary,"hand-reviewed"
"tsafiki",unlisted,"hand-reviewed"
"tseltal",unlisted,"hand-reviewed"
"tseltal-mexico",unlisted,"default real private"
"tsesungun",public,"publicly listed"
"tshivenda",delete,"1 entries, stale since 2022-11-02"
"tsimane",unlisted,"hand-reviewed"
"tsotsil-mexico",unlisted,"default real private"
